title, source, date, type, sectionId, id, apiUrl, sectionName
Sydney siege inquest: DPP solicitor defends conduct of Monis bail case – rolling report, http://www.theguardian.com/australia-news/live/2015/aug/24/sydney-siege-inquest-dpp-solicitor-defends-conduct-of-monis-bail-case-rolling-report, 2015-08-24, article, australia-news, australia-news/live/2015/aug/24/sydney-siege-inquest-dpp-solicitor-defends-conduct-of-monis-bail-case-rolling-report, http://content.guardianapis.com/australia-news/live/2015/aug/24/sydney-siege-inquest-dpp-solicitor-defends-conduct-of-monis-bail-case-rolling-report, Australia news
Dyson Heydon 'still considering his ruling' on his future at union inquiry, http://www.theguardian.com/australia-news/2015/aug/24/dyson-heydon-still-considering-his-ruling-on-his-future-at-union-inquiry, 2015-08-24, article, australia-news, australia-news/2015/aug/24/dyson-heydon-still-considering-his-ruling-on-his-future-at-union-inquiry, http://content.guardianapis.com/australia-news/2015/aug/24/dyson-heydon-still-considering-his-ruling-on-his-future-at-union-inquiry, Australia news
Tony Abbott praises Eddie Mabo for 'having a go' on visit to Torres Strait, http://www.theguardian.com/australia-news/2015/aug/24/tony-abbott-praises-eddie-mabo-for-having-a-go-on-visit-to-torres-strait, 2015-08-24, article, australia-news, australia-news/2015/aug/24/tony-abbott-praises-eddie-mabo-for-having-a-go-on-visit-to-torres-strait, http://content.guardianapis.com/australia-news/2015/aug/24/tony-abbott-praises-eddie-mabo-for-having-a-go-on-visit-to-torres-strait, Australia news
George Pell criticised by Catholic bishop as 'destroyer of unity' on child sex abuse, http://www.theguardian.com/australia-news/2015/aug/24/cardinal-george-pell-denounced-by-catholic-bishop-as-destroyer-of-unity, 2015-08-24, article, australia-news, australia-news/2015/aug/24/cardinal-george-pell-denounced-by-catholic-bishop-as-destroyer-of-unity, http://content.guardianapis.com/australia-news/2015/aug/24/cardinal-george-pell-denounced-by-catholic-bishop-as-destroyer-of-unity, Australia news
Rich pay too much says Joe Hockey laying ground for income tax cuts, http://www.theguardian.com/australia-news/2015/aug/24/joe-hockey-lays-ground-personal-income-tax-cuts-at-next-election, 2015-08-23, article, australia-news, australia-news/2015/aug/24/joe-hockey-lays-ground-personal-income-tax-cuts-at-next-election, http://content.guardianapis.com/australia-news/2015/aug/24/joe-hockey-lays-ground-personal-income-tax-cuts-at-next-election, Australia news
Queensland teenager Oliver Bridgeman denies joining al-Qaida affiliate in Syria, http://www.theguardian.com/australia-news/2015/aug/24/queensland-teenager-oliver-bridgeman-denies-joining-al-qaida-in-syria, 2015-08-23, article, australia-news, australia-news/2015/aug/24/queensland-teenager-oliver-bridgeman-denies-joining-al-qaida-in-syria, http://content.guardianapis.com/australia-news/2015/aug/24/queensland-teenager-oliver-bridgeman-denies-joining-al-qaida-in-syria, Australia news
Farmers ​question 'coincidental' timing of proposed environment law change, http://www.theguardian.com/australia-news/2015/aug/24/farmers-question-coincidental-timing-of-proposed-environment-law-change, 2015-08-23, article, australia-news, australia-news/2015/aug/24/farmers-question-coincidental-timing-of-proposed-environment-law-change, http://content.guardianapis.com/australia-news/2015/aug/24/farmers-question-coincidental-timing-of-proposed-environment-law-change, Australia news
Tony Abbott: welfare card will help lift Indigenous people 'by their bootstraps', http://www.theguardian.com/australia-news/2015/aug/23/tony-abbott-welfare-card-will-help-lift-indigenous-people-by-their-bootstraps, 2015-08-23, article, australia-news, australia-news/2015/aug/23/tony-abbott-welfare-card-will-help-lift-indigenous-people-by-their-bootstraps, http://content.guardianapis.com/australia-news/2015/aug/23/tony-abbott-welfare-card-will-help-lift-indigenous-people-by-their-bootstraps, Australia news
Australian police detainees using ice at record rates: survey, http://www.theguardian.com/australia-news/2015/aug/23/australian-police-detainees-using-ice-at-record-rates-survey, 2015-08-23, article, australia-news, australia-news/2015/aug/23/australian-police-detainees-using-ice-at-record-rates-survey, http://content.guardianapis.com/australia-news/2015/aug/23/australian-police-detainees-using-ice-at-record-rates-survey, Australia news
Julie Bishop says Liberals will watch WA byelection amid leadership questions, http://www.theguardian.com/australia-news/2015/aug/23/julie-bishop-says-liberals-will-watch-wa-byelection-amid-leadership-questions, 2015-08-23, article, australia-news, australia-news/2015/aug/23/julie-bishop-says-liberals-will-watch-wa-byelection-amid-leadership-questions, http://content.guardianapis.com/australia-news/2015/aug/23/julie-bishop-says-liberals-will-watch-wa-byelection-amid-leadership-questions, Australia news
